id	question	level	objective
F1	Animals you saw last year	moose	
F2	Animals you saw last year	deer	
F3	Animals you saw last year	roe deer	
F4	Animals you saw last year	wild boar	
F5	Animals you saw last year	beaver	
F6	Animals you saw last year	otter	
F7	Animals you saw last year	hedgehog	
F8	Animals you saw last year	bat	
F9	Animals you saw last year	red fox	
F10	Animals you saw last year	marten	
F11	Animals you saw last year	ermine	
F12	Animals you saw last year	squirrel	
F13	Animals you saw last year	badger	
F14	Animals you saw last year	racoon dog	
F15	Animals you saw last year	racoon	
F16	Animals you saw last year	hare	
F17	Animals you saw last year	swan	
F18	Animals you saw last year	duck	
F19	Animals you saw last year	kestrel 	
F20	Animals you saw last year	buzzard	
F21	Animals you saw last year	Others	
F22	Animals you saw last year	Name	
F23	The 3 most important species see at 100m distance	Speci 1	Obj1
F24	The 3 most important species see at 100m distance	Park (name)	
F25	The 3 most important species see at 100m distance	Near home (place)	
F26	The 3 most important species see at 100m distance	Walking (place)	
F27	The 3 most important species see at 100m distance	On road (place)	
F28	The 3 most important species see at 100m distance	Building	
F29	The 3 most important species see at 100m distance	Transport stop	
F30	The 3 most important species see at 100m distance	river/reservior	
F31	The 3 most important species see at 100m distance	Other	
F32	The 3 most important species see at 100m distance	Speci 2	Obj1
F33	The 3 most important species see at 100m distance	Park (name)	
F34	The 3 most important species see at 100m distance	Near home (place)	
F35	The 3 most important species see at 100m distance	Walking (place)	
F36	The 3 most important species see at 100m distance	On road (place)	
F37	The 3 most important species see at 100m distance	Building	
F38	The 3 most important species see at 100m distance	Transport stop	
F39	The 3 most important species see at 100m distance	river/reservior	
F40	The 3 most important species see at 100m distance	Other	
F41	The 3 most important species see at 100m distance	Speci 3	Obj1
F42	The 3 most important species see at 100m distance	Park (name)	
F43	The 3 most important species see at 100m distance	Near home (place)	
F44	The 3 most important species see at 100m distance	Walking (place)	
F45	The 3 most important species see at 100m distance	On road (place)	
F46	The 3 most important species see at 100m distance	Building	
F47	The 3 most important species see at 100m distance	Transport stop	
F48	The 3 most important species see at 100m distance	river/reservior	
