SampleID	P0	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31
A1	1		1	41						1										1										1		
A2	2	1		46						1										1										1		
A3	3		1	36						1										1										1		
A4	4	1		40						1										1										1		
A5	5		1	36						1										1												1
A6	6	1		40					1											1										1		
A7	7		1	NA					1											1												1
A8	8		1	36						1										1										1		
A9	9	1		29						1												1								1		
A10	10	1		41						1											1									1		
A11	11		1	44						1										1										1		
A12	12	1		44							1											1								1		
A13	13	1		45						1												1								1		
A14	14		1	35						1										1										1		
A15	15	1		40						1										1										1		
A16	16	1		33			1													1										1		
A17	17		1	37						1											1									1		
A18	18		1	42						1										1										1		
A19	19		1	42					1											1										1		
A20	20		1	46						1										1										1		
A21	21		1	35			1															1								1		
A22	22		1	34				1												1											1	
A23	23		1	NA																												
A24	24		1	40						1										1										1		
A25	25	1		NA																												
A26	26		1	37					1															1						1		
A27	27	1		29						1														1						1		
A28	28	1		35						1														1						1		
A29	29		1	40						1												1								1		
A30	30		1	46						1										1										1		
A31	31		1	37						1										1										1		
A32	32		1	31					1															1						1		
A33	33		1	34					1											1										1		
A34	34		1	35						1														1						1		
A35	35		1	41						1										1										1		
A36	36		1	40						1										1												1
A37	37		1	43						1										1										1		
A38	38		1	46						1										1										1		
A39	39		1	35						1												1										1
A40	40		1	34					1															1						1		
A41	41		1	37																				1						1		
A42	42		1	31						1														1								1
A43	43		1	46				1																1						1		
A44	44		1	38						1										1										1		
A45	45		1	46			1																	1						1		
A46	46		1	42					1											1										1		
A47	47		1	38						1										1										1		
A48	48		1	38						1														1						1		
A49	49		1	48					1											1										1		
A50	50		1	45						1											1									1		
A51	51	1		38						1										1												1
A52	52		1	45			1																	1								
A53	53	1		40						1										1										1		
A54	54		1	38			1													1												1
A55	55		1	44						1										1										1		
A56	56		1	34					1											1										1		
A57	57	1		40						1										1										1		
A58	58	1		43						1										1										1		
A59	59		1	39						1										1										1		
A60	60	1		40						1										1										1		
A61	61		1	35			1													1										1		
A62	62		1	39						1														1								1
A63	63		1	40						1										1										1		
A64	64		1	36					1											1										1		
A65	65		1	60		1														1										1		
A66	66		1	32			1													1										1		
A67	67		1	39						1												1								1		
A68	68		1	41						1										1										1		
A69	69	1		44						1										1										1		
A70	70		1	40						1										1										1		
A71	71		1	44					1														1							1		
A72	72	1		37						1										1										1		
A73	73		1	42					1											1										1		
A74	74		1	40						1									1												1	
A75	75		1	46						1										1										1		
A76	76		1	39						1										1										1		
A77	77		1	39						1														1						1		
A78	78		1	29					1															1								1
A79	79	1		35						1										1										1		
A80	80	1		51						1										1										1		
A81	81	1		39						1												1								1		
A82	82		1	38						1										1										1		
A83	1		1	37						1									1											1		
A84	2	1		43						1									1											1		
A85	3		1	33						1									1											1		
A86	4		1	36						1									1											1		
A87	5		1	37					1										1											1		
A88	6	1		46						1									1											1		
A89	7		1	35						1									1												1	
A90	8		1	45						1									1											1		
A91	9		1	45						1									1											1		
A92	10		1	48						1									1											1		
A93	11	1		49						1									1											1		
A94	12		1	40					1										1											1		
A95	13		1	40						1									1											1		
A96	14		1	42						1														1						1		
A97	15	1		45						1									1											1		
A98	16	1		39						1									1											1		
A99	17		1	42						1									1											1		
A100	18	1		39						1									1											1		
A101	19		1	41						1									1											1		
A102	20		1	40						1									1											1		
A103	21		1	39						1									1											1		
A104	22		1	39					1										1											1		
A105	23		1	34						1									1											1		
A106	24		1	48						1									1											1		
A107	25		1	35						1									1											1		
A108	26	1		38						1									1											1		
A109	27		1	52						1									1											1		
A110	28		1	43						1									1											1		
A111	29	1		44						1									1											1		
A112	30		1	41						1									1											1		
A113	31	1		42						1									1											1		
A114	32		1	40						1									1											1		
A115	33		1	36						1									1											1		
A116	34		1	39					1										1											1		
A117	35		1	39						1									1											1		
A118	36		1	36						1									1											1		
A119	37		1	38						1									1											1		
A120	38		1	37						1									1											1		
A121	39		1	40						1									1											1		
A122	40	1		39						1									1											1		
A123	41		1	46						1									1											1		
A124	42	1		15	1														1											1		
A125	43	1		15	1														1											1		
A126	44	1		15	1														1													1
A127	45		1	14		1													1												1	
A128	46	1		15	1														1											1		
A129	47	1		15	1														1													1
A130	48	1		14	1														1											1		
A131	49		1	14		1													1											1		
A132	50		1	14	1														1											1		
A133	51	1		15	1														1											1		
A134	52	1		14		1													1													1
A135	53	1		13		1													1											1		
A136	54	1		14	1														1											1		
A137	55	1		14		1													1													1
A138	56		1	40						1									1											1		
A139	57	1		40						1									1											1		
A140	58		1	41						1														1						1		
A141	59		1	43						1									1												1	
A142	60		1	39					1										1											1		
A143	61		1	39						1									1											1		
A144	62		1	40						1									1											1		
A145	63		1	41						1									1											1		
A146	64		1	45				1											1											1		
A147	65		1	36						1									1											1		
A148	66		1	41						1									1											1		
A149	67		1	38						1														1							1	
A150	68		1	40						1									1											1		
A151	69	1		41						1									1											1		
A152	70		1	49						1									1											1		
A153	71	1		45						1									1											1		
A154	72		1	39					1										1											1		
A155	73		1	42						1									1											1		
A156	74	1		50						1									1											1		
A157	75		1	40						1									1											1		
A158	76		1	38						1									1											1		
A159	77	1		44						1									1											1		
A160	78	1		39						1									1											1		
A161	79		1	42						1									1											1		
A162	1	1		62						1								1												1		
A163	2		1	45						1									1											1		
A164	3		1	45						1								1												1		
A165	4		1	39						1								1												1		
A166	5	1		43					1									1												1		
A167	6		1	34						1								1												1		
A168	7	1		44						1								1												1		
A169	8		1	45						1									1											1		
A170	9		1	37						1								1												1		
A171	10		1	31				1										1												1		
A172	11		1	39						1								1												1		
A173	12		1	42						1								1												1		
A174	13		1	39						1								1														1
A175	14	1		43						1						1														1		
A176	15		1	37						1								1												1		
A177	16	1		64						1								1												1		
A178	17	1		35						1								1												1		
A179	18	1		38					1									1												1		
A180	19		1	37					1									1												1		
A181	20		1	55						1								1												1		
A182	21		1	48				1										1												1		
A183	22		1	36														1												1		
A184	23		1	42					1									1												1		
A185	24	1		36					1									1												1		
A186	25		1	32						1								1												1		
A187	26	1		50					1									1												1		
A188	27		1	46						1								1												1		
A189	28		1	36						1								1												1		
A190	29	1		34					1									1												1		
A191	30		1	56						1						1															1	
A192	31	1		40					1									1												1		
A193	32		1	32						1								1												1		
A194	33		1	30					1									1												1		
A195	34	1		53						1								1												1		
A196	35		1	39						1																					1	
A197	36		1	39						1								1												1		
A198	37		1	33					1									1												1		
A199	38		1	42						1								1												1		
A200	39		1	37					1									1												1		
A201	40		1	40						1						1														1		
A202	41	1		39						1								1												1		
A203	42	1		37						1								1												1		
A204	43	1		48						1								1													1	
A205	44	1		42						1								1												1		
A206	45		1	38						1								1												1		
A207	46		1	38						1						1														1		
A208	47	1		40					1									1												1		
A209	48	1		30					1							1														1		
A210	49		1	39						1						1														1		
A211	50		1	54					1									1												1		
A212	51		1	42						1								1												1		
A213	1	1		42						1			1																	1		
A214	2	1		46						1			1																	1		
A215	3	1		39						1																			1	1		
A216	4		1	48					1				1																			1
A217	5	1		44			1																	1						1		
A218	6		1	41						1				1																1		
A219	7		1	36						1			1																	1		
A220	8		1	32						1			1																		1	
A221	9	1		44						1			1																		1	
A222	10		1	35					1				1																	1		
A223	11		1	NA					1				1																	1		
A224	12		1	38						1				1																		1
A225	13		1	42					1				1																	1		
A226	14		1	36						1			1																	1		
A227	15		1	48						1			1																			1
A228	16		1	40					1				1																	1		
A229	17	1		47						1			1																	1		
A230	18		1	38						1			1																	1		
A231	19		1	50						1			1																	1		
A232	20		1	39					1				1																	1		
A233	21		1	28					1				1																	1		
A234	22		1	NA						1			1																	1		
A235	23		1	35				1					1																	1		
A236	24		1	34						1			1																		1	
A237	25		1	35						1			1																	1		
A238	26		1	36						1			1																		1	
A239	27		1	60					1				1																	1		
A240	28		1	40						1			1																		1	
A241	29		1	37						1			1																			
A242	30		1	34						1			1																		1	
A243	31	1		51						1			1																	1		
A244	32		1	36				1																					1			1
A245	33		1	44						1			1																	1		
A246	34	1		34					1				1																		1	
A247	35		1	40						1			1																	1		
A248	36		1	39						1			1																			
A249	37		1	NA						1			1																	1		
A250	38		1	40			1						1																	1		
A251	39		1	41				1					1																	1		
A252	40		1	32				1					1																	1		
A253	1		1	39						1															1					1		
A254	2		1	38						1															1					1		
A255	3		1	40						1															1					1		
A256	4		1	44						1															1					1		
A257	5		1	38					1																1					1		
A258	6		1	40						1															1					1		
A259	7		1	43					1																				1		1	
A260	8		1	34			1																		1					1		
A261	9		1	38					1																1							1
A262	10		1	41						1															1					1		
A263	11		1	48				1																	1					1		
A264	12		1	45			1																		1					1		
A265	13		1	14	1																				1					1		
A266	14		1	43					1																1					1		
A267	15		1	40			1																		1					1		
A268	16		1	33					1																1					1		
A269	17	1		44					1																1					1		
A270	18	1		46					1																1						1	
A271	19		1	40					1																1					1		
A272	20		1	35						1															1					1		
A273	21		1	40						1															1					1		
A274	22		1	62						1																			1	1		
A275	23		1	43					1																1					1		
A276	24		1	41			1																		1					1		
A277	25		1	45					1																1					1		
A278	26		1	40						1															1					1		
