ID	YEAR	1a	1b	1c	1d	1e	1f	1g	2a	2b	2c	2d	3a	3b	3c	3d	3e	3f	3g	3h
1	2020	-1	-1	-1	1	1	1	1	0	0	0	1	1	-1	1	-1	1	1	-1	1
2	2020	-1	-1	-1	1	0	-1	1	-1	1	1	1	-1	-1	1	-1	1	0	-1	0
3	2020	-1	-1	-1	1	1	0	1	-1	-1	-1	1	1	-1	1	-1	1	-1	0	0
4	2020	-1	-1	-1	1	1	1	1	-1	1	1	1	1	-1	1	-1	1	-1	-1	-1
5	2020	1	-1	-1	1	0	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1
6	2020	-1	-1	-1	0	1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0
7	2020	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1
8	2020	-1	-1	-1	-1	1	1	1	0	-1	-1	1	1	-1	1	-1	0	0	-1	-1
9	2020	-1	0	0	1	1	1	1	-1	1	0	1	1	-1	0	0	1	-1	0	0
10	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1
11	2020	-1	-1	-1	-1	-1	0	1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	1
12	2020	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	0	-1	-1	1
13	2020	-1	-1	-1	NA	NA	1	0	-1	1	1	1	0	-1	1	-1	1	-1	-1	0
14	2020	0	0	0	1	0	1	0	-1	0	0	1	1	-1	1	-1	1	-1	0	-1
15	2020	-1	-1	-1	0	1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1
16	2020	1	-1	-1	1	1	1	0	-1	0	0	1	-1	-1	1	0	1	-1	-1	-1
17	2020	1	0	0	1	-1	0	-1	-1	1	1	1	0	-1	0	0	0	0	-1	0
18	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1
19	2020	-1	-1	-1	1	-1	0	0	-1	0	0	1	1	-1	1	0	1	-1	-1	-1
20	2020	0	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	0
21	2020	-1	-1	-1	-1	-1	0	0	-1	0	0	1	0	-1	0	0	1	0	-1	0
22	2020	0	0	0	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	1	-1
23	2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0
24	2020	NA	NA	NA	NA	1	NA	1	NA	NA	1	NA	1	0	0	0	0	0	0	1
25	2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0
26	2020	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	1	0	1	0	-1	-1
27	2020	-1	0	1	1	1	1	1	-1	1	0	1	1	-1	0	0	1	-1	0	0
28	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1
29	2020	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	0	-1	-1	0
30	2020	-1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	0	0	0	0	0	0	0
31	2020	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	0	0	1	0	0	0	0	0
32	2020	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	0	1	-1	-1	1
33	2020	-1	-1	-1	-1	NA	NA	NA	-1	-1	-1	-1	1	0	0	0	0	0	0	0
34	2020	-1	-1	-1	1	0	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1
35	2020	1	-1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	0	1	-1	1
36	2020	0	-1	-1	1	0	1	0	1	-1	0	1	0	-1	1	0	1	0	-1	1
37	2020	1	-1	-1	1	0	1	0	-1	-1	-1	1	-1	-1	1	-1	1	1	0	1
38	2020	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	0	0
39	2020	1	-1	-1	1	-1	0	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1
40	2020	NA	NA	NA	1	NA	NA	NA	-1	-1	0	1	-1	-1	1	-1	1	1	-1	-1
41	2020	1	-1	-1	1	1	1	-1	1	1	1	1	1	-1	1	-1	1	1	-1	1
42	2020	1	-1	-1	1	0	1	1	1	-1	0	1	-1	-1	1	0	1	1	-1	1
43	2020	0	1	1	0	1	1	0	-1	1	-1	1	1	-1	0	0	0	0	0	0
44	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1
45	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1
46	2020	NA	NA	NA	NA	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	0	-1	-1
47	2020	0	-1	-1	1	1	-1	0	0	-1	-1	1	-1	0	1	-1	1	-1	-1	1
48	2020	-1	-1	-1	0	1	1	0	-1	-1	0	1	1	-1	0	-1	-1	-1	-1	0
49	2020	-1	-1	-1	0	-1	1	1	-1	0	1	1	1	-1	1	-1	1	0	0	0
50	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	0	0	-1	1
51	2020	0	-1	-1	1	0	1	0	-1	-1	-1	1	0	-1	1	-1	1	0	0	0
52	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1
53	2020	-1	-1	-1	-1	1	0	1	-1	-1	-1	1	1	-1	0	-1	1	-1	-1	-1
54	2020	0	-1	-1	1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	0	-1	0
55	2020	-1	-1	-1	-1	1	1	1	NA	NA	NA	NA	1	-1	1	0	0	0	0	0
56	2020	-1	-1	-1	1	1	1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	0
57	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1
58	2020	-1	-1	-1	-1	1	1	1	-1	-1	0	1	1	-1	-1	-1	1	1	-1	1
59	2020	-1	-1	-1	1	1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	-1
60	2020	-1	-1	-1	-1	1	1	1	-1	NA	NA	1	1	-1	0	0	1	1	-1	1
61	2020	-1	-1	-1	0	1	1	1	-1	-1	-1	1	0	-1	1	-1	0	-1	0	0
62	2020	0	-1	-1	1	1	1	0	-1	-1	-1	1	-1	-1	0	0	1	0	0	0
63	2020	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	0	-1	1	0	-1	-1
64	2020	-1	-1	-1	1	NA	1	1	-1	0	0	1	1	-1	1	0	0	0	0	0
65	2020	-1	-1	-1	0	1	1	0	-1	-1	-1	1	1	-1	0	-1	1	0	-1	-1
66	2020	0	-1	-1	1	1	1	0	-1	-1	-1	1	-1	-1	1	-1	0	-1	-1	-1
67	2020	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1
68	2020	-1	-1	-1	1	-1	0	1	-1	-1	-1	1	-1	-1	-1	-1	1	0	-1	-1
69	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1
70	2020	-1	-1	-1	-1	1	0	0	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1
71	2020	NA	-1	-1	1	1	1	NA	-1	-1	-1	1	1	-1	0	-1	1	0	-1	-1
72	2020	-1	-1	NA	1	0	1	1	-1	1	1	1	1	-1	1	0	1	0	-1	0
73	2020	-1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	0	0	0
